time,pm10,nitrogen_dioxide
2026-05-06T00:00,9.4,40.7
2026-05-06T01:00,10.3,41.9
2026-05-06T02:00,12.8,38.8
2026-05-06T03:00,13.7,37.7
2026-05-06T04:00,14.8,33.8
2026-05-06T05:00,17.9,43.5
2026-05-06T06:00,17.3,47.0
2026-05-06T07:00,15.3,48.2
2026-05-06T08:00,16.0,45.3
2026-05-06T09:00,12.5,34.0
2026-05-06T10:00,9.7,22.4
2026-05-06T11:00,7.2,17.1
2026-05-06T12:00,8.6,13.7
2026-05-06T13:00,6.9,11.1
2026-05-06T14:00,6.4,8.6
2026-05-06T15:00,6.4,8.2
2026-05-06T16:00,5.8,8.5
2026-05-06T17:00,5.7,9.2
2026-05-06T18:00,5.6,10.2
2026-05-06T19:00,6.4,13.3
2026-05-06T20:00,6.5,19.3
2026-05-06T21:00,8.0,35.9
2026-05-06T22:00,9.8,43.7
2026-05-06T23:00,12.0,46.1
2026-05-07T00:00,15.9,51.8
2026-05-07T01:00,19.4,66.2
2026-05-07T02:00,19.4,60.8
2026-05-07T03:00,18.2,46.6
2026-05-07T04:00,17.8,31.0
2026-05-07T05:00,16.5,27.9
2026-05-07T06:00,17.0,36.1
2026-05-07T07:00,18.4,44.7
2026-05-07T08:00,20.7,48.0
2026-05-07T09:00,13.9,34.7
2026-05-07T10:00,10.3,22.8
2026-05-07T11:00,7.4,11.5
2026-05-07T12:00,6.9,6.7
2026-05-07T13:00,6.2,5.8
2026-05-07T14:00,6.3,6.6
2026-05-07T15:00,7.4,6.7
2026-05-07T16:00,7.9,8.0
2026-05-07T17:00,7.7,9.0
2026-05-07T18:00,8.6,10.6
2026-05-07T19:00,9.3,12.8
2026-05-07T20:00,9.5,17.4
2026-05-07T21:00,9.3,24.7
2026-05-07T22:00,10.9,31.9
2026-05-07T23:00,12.4,39.3
2026-05-08T00:00,14.3,48.8
2026-05-08T01:00,20.3,57.8
2026-05-08T02:00,24.7,57.0
2026-05-08T03:00,26.6,59.7
2026-05-08T04:00,26.6,58.6
2026-05-08T05:00,25.9,51.8
2026-05-08T06:00,25.7,49.7
2026-05-08T07:00,28.0,50.2
2026-05-08T08:00,32.7,55.3
2026-05-08T09:00,37.9,50.5
2026-05-08T10:00,37.0,52.1
2026-05-08T11:00,24.0,39.0
2026-05-08T12:00,17.1,31.1
2026-05-08T13:00,12.7,19.1
2026-05-08T14:00,9.3,11.4
2026-05-08T15:00,7.9,12.0
2026-05-08T16:00,7.3,9.0
2026-05-08T17:00,7.4,8.4
2026-05-08T18:00,7.5,10.7
2026-05-08T19:00,7.7,15.8
2026-05-08T20:00,8.0,23.8
2026-05-08T21:00,8.9,36.3
2026-05-08T22:00,9.0,40.2
2026-05-08T23:00,9.5,43.2
2026-05-09T00:00,11.1,44.5
2026-05-09T01:00,16.0,47.3
2026-05-09T02:00,19.4,59.6
2026-05-09T03:00,23.1,60.2
2026-05-09T04:00,26.2,56.7
2026-05-09T05:00,26.3,49.3
2026-05-09T06:00,24.3,41.4
2026-05-09T07:00,23.6,38.1
2026-05-09T08:00,23.6,38.8
2026-05-09T09:00,20.3,25.3
2026-05-09T10:00,14.6,11.1
2026-05-09T11:00,10.2,9.5
2026-05-09T12:00,11.1,6.3
2026-05-09T13:00,11.6,6.0
2026-05-09T14:00,11.5,5.5
2026-05-09T15:00,10.5,5.2
2026-05-09T16:00,9.4,4.9
2026-05-09T17:00,10.8,5.9
2026-05-09T18:00,10.9,6.5
2026-05-09T19:00,10.2,8.1
2026-05-09T20:00,9.3,7.9
2026-05-09T21:00,9.2,12.6
2026-05-09T22:00,9.2,17.7
2026-05-09T23:00,9.5,22.1
2026-05-10T00:00,16.2,20.9
2026-05-10T01:00,17.7,21.1
2026-05-10T02:00,9.1,15.3
2026-05-10T03:00,6.4,6.6
2026-05-10T04:00,6.1,7.2
2026-05-10T05:00,5.9,7.7
2026-05-10T06:00,7.0,8.1
2026-05-10T07:00,7.6,8.5
2026-05-10T08:00,8.0,8.3
2026-05-10T09:00,8.6,7.3
2026-05-10T10:00,9.1,5.8
2026-05-10T11:00,7.6,4.5
2026-05-10T12:00,7.5,3.8
2026-05-10T13:00,9.2,3.3
2026-05-10T14:00,11.4,3.1
2026-05-10T15:00,13.2,3.1
2026-05-10T16:00,14.1,3.3
2026-05-10T17:00,14.4,3.7
2026-05-10T18:00,13.9,4.2
2026-05-10T19:00,12.5,4.8
2026-05-10T20:00,11.8,5.6
2026-05-10T21:00,11.9,6.7
2026-05-10T22:00,13.1,8.0
2026-05-10T23:00,13.8,8.9
